state,type,date,sex,abs,rate
Perlis,neonatal,2017-01-01,female,4,1.9047619047619047
Pulau Pinang,neonatal,2017-01-01,female,33,3.1682027649769586
Sabah,neonatal,2017-01-01,female,130,5.116498740554156
Sarawak,neonatal,2017-01-01,female,62,3.4233338854839603
Selangor,neonatal,2017-01-01,female,185,3.6879036759429074
Terengganu,neonatal,2017-01-01,female,44,3.203727974370176
W.P. Kuala Lumpur,neonatal,2017-01-01,female,39,3.24729392173189
W.P. Labuan,neonatal,2017-01-01,female,5,6.105006105006105
W.P. Putrajaya,neonatal,2017-01-01,female,5,4.1017227235438884
Johor,neonatal,2018-01-01,both,265,4.3
Kedah,neonatal,2018-01-01,both,151,4.2
Kelantan,neonatal,2018-01-01,both,195,5.1
Melaka,neonatal,2018-01-01,both,71,4.9
Negeri Sembilan,neonatal,2018-01-01,both,111,6.1
Pahang,neonatal,2018-01-01,both,125,4.6
Perak,neonatal,2018-01-01,both,150,4.4
Perlis,neonatal,2018-01-01,both,28,6.4
Pulau Pinang,neonatal,2018-01-01,both,89,4.3
Sabah,neonatal,2018-01-01,both,335,6.3
Sarawak,neonatal,2018-01-01,both,139,3.8
Selangor,neonatal,2018-01-01,both,422,4.1
Terengganu,neonatal,2018-01-01,both,118,4.2
W.P. Kuala Lumpur,neonatal,2018-01-01,both,98,4.0
W.P. Labuan,neonatal,2018-01-01,both,12,7.1
W.P. Putrajaya,neonatal,2018-01-01,both,12,5.0
Johor,neonatal,2018-01-01,male,139,4.4
Kedah,neonatal,2018-01-01,male,88,4.8
Kelantan,neonatal,2018-01-01,male,120,6.0
Melaka,neonatal,2018-01-01,male,43,5.8
Negeri Sembilan,neonatal,2018-01-01,male,63,6.8
Pahang,neonatal,2018-01-01,male,68,4.9
Perak,neonatal,2018-01-01,male,73,4.2
Perlis,neonatal,2018-01-01,male,12,5.3
Pulau Pinang,neonatal,2018-01-01,male,47,4.4
Sabah,neonatal,2018-01-01,male,180,6.5
Sarawak,neonatal,2018-01-01,male,85,4.5
Selangor,neonatal,2018-01-01,male,239,4.5
Terengganu,neonatal,2018-01-01,male,66,4.5
W.P. Kuala Lumpur,neonatal,2018-01-01,male,56,4.5
W.P. Labuan,neonatal,2018-01-01,male,8,8.8
W.P. Putrajaya,neonatal,2018-01-01,male,8,6.4
Johor,neonatal,2018-01-01,female,126,4.3
Kedah,neonatal,2018-01-01,female,63,3.7
Kelantan,neonatal,2018-01-01,female,75,4.1
Melaka,neonatal,2018-01-01,female,28,4.0
Negeri Sembilan,neonatal,2018-01-01,female,48,5.4
Pahang,neonatal,2018-01-01,female,57,4.4
Perak,neonatal,2018-01-01,female,77,4.7
Perlis,neonatal,2018-01-01,female,16,7.5
Pulau Pinang,neonatal,2018-01-01,female,42,4.2
Sabah,neonatal,2018-01-01,female,155,6.1
Sarawak,neonatal,2018-01-01,female,54,3.0
Selangor,neonatal,2018-01-01,female,183,3.7
Terengganu,neonatal,2018-01-01,female,52,3.8
W.P. Kuala Lumpur,neonatal,2018-01-01,female,42,3.6
W.P. Labuan,neonatal,2018-01-01,female,4,5.1
W.P. Putrajaya,neonatal,2018-01-01,female,4,3.5
Johor,neonatal,2019-01-01,both,236,3.9269193650371057
Kedah,neonatal,2019-01-01,both,137,3.9809379903527637
Kelantan,neonatal,2019-01-01,both,182,4.953998584571833
Melaka,neonatal,2019-01-01,both,64,4.543518387050972
Negeri Sembilan,neonatal,2019-01-01,both,91,5.229283990345937
Pahang,neonatal,2019-01-01,both,118,4.577901924270639
Perak,neonatal,2019-01-01,both,147,4.469035965098957
Perlis,neonatal,2019-01-01,both,18,4.451038575667656
Pulau Pinang,neonatal,2019-01-01,both,79,3.9213739700188626
Sabah,neonatal,2019-01-01,both,205,3.890976730061117
Sarawak,neonatal,2019-01-01,both,118,3.23837751797574
Selangor,neonatal,2019-01-01,both,365,3.8335906565417863
Terengganu,neonatal,2019-01-01,both,129,4.776008885597927
W.P. Kuala Lumpur,neonatal,2019-01-01,both,76,2.8110667258470188
W.P. Labuan,neonatal,2019-01-01,both,7,4.2042042042042045
W.P. Putrajaya,neonatal,2019-01-01,both,8,3.4572169403630078
Johor,neonatal,2019-01-01,male,130,4.195172324770879
Kedah,neonatal,2019-01-01,male,80,4.496150171415725
Kelantan,neonatal,2019-01-01,male,110,5.773066022882334
Melaka,neonatal,2019-01-01,male,35,4.745762711864407
Negeri Sembilan,neonatal,2019-01-01,male,49,5.428761356082428
Pahang,neonatal,2019-01-01,male,64,4.845181315769551
Perak,neonatal,2019-01-01,male,81,4.762744752160875
Perlis,neonatal,2019-01-01,male,11,5.135387488328665
Pulau Pinang,neonatal,2019-01-01,male,48,4.5924225028702645
Sabah,neonatal,2019-01-01,male,112,4.085354732810505
Sarawak,neonatal,2019-01-01,male,58,3.066511578724754
Selangor,neonatal,2019-01-01,male,180,3.676170247528797
Terengganu,neonatal,2019-01-01,male,72,5.124190449078358
W.P. Kuala Lumpur,neonatal,2019-01-01,male,46,3.2800912721049627
W.P. Labuan,neonatal,2019-01-01,male,4,4.624277456647399
W.P. Putrajaya,neonatal,2019-01-01,male,5,4.1288191577208915
Johor,neonatal,2019-01-01,female,106,3.6413603572655444
Kedah,neonatal,2019-01-01,female,57,3.4293965465375127
Kelantan,neonatal,2019-01-01,female,72,4.07147704139335
Melaka,neonatal,2019-01-01,female,29,4.321263597079422
Negeri Sembilan,neonatal,2019-01-01,female,42,5.01432664756447
Pahang,neonatal,2019-01-01,female,54,4.296968250179041
Perak,neonatal,2019-01-01,female,66,4.154601535943598
Perlis,neonatal,2019-01-01,female,7,3.680336487907466
Pulau Pinang,neonatal,2019-01-01,female,31,3.197854342892511
Sabah,neonatal,2019-01-01,female,93,3.6801076332555103
Sarawak,neonatal,2019-01-01,female,60,3.423875827436658
Selangor,neonatal,2019-01-01,female,185,4.0002594762903545
Terengganu,neonatal,2019-01-01,female,57,4.398487537618643
W.P. Kuala Lumpur,neonatal,2019-01-01,female,30,2.305564094681832
W.P. Labuan,neonatal,2019-01-01,female,3,3.75
W.P. Putrajaya,neonatal,2019-01-01,female,3,2.7198549410698094
